taxon_order,category,species_code,primary_com_name,sci_name
1,species,ostric2,Common Ostrich,Struthio camelus
6,species,ostric3,Somali Ostrich,Struthio molybdophanes
7,slash,y00934,Common/Somali Ostrich,Struthio camelus/molybdophanes
8,species,grerhe1,Greater Rhea,Rhea americana
14,species,lesrhe2,Lesser Rhea,Rhea pennata
15,issf,lesrhe4,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
18,issf,lesrhe3,Lesser Rhea (Darwin's),Rhea pennata pennata
19,species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius
20,species,higtin1,Highland Tinamou,Nothocercus bonapartei
21,issf,higtin2,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
26,issf,higtin3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
27,species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus
30,species,grytin1,Gray Tinamou,Tinamus tao
35,species,soltin1,Solitary Tinamou,Tinamus solitarius
36,species,blatin1,Black Tinamou,Tinamus osgoodi
39,species,gretin1,Great Tinamou,Tinamus major
52,species,whttin1,White-throated Tinamou,Tinamus guttatus
53,spuh,tinamu1,Tinamus sp.,Tinamus sp.
54,species,cintin1,Cinereous Tinamou,Crypturellus cinereus
55,species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi
56,species,littin1,Little Tinamou,Crypturellus soui
71,species,teptin1,Tepui Tinamou,Crypturellus ptaritepui
72,species,brotin1,Brown Tinamou,Crypturellus obsoletus
73,issf,brntin1,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
74,issf,brntin2,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
83,species,undtin1,Undulated Tinamou,Crypturellus undulatus
90,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus
91,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus
92,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae
93,species,reltin1,Red-legged Tinamou,Crypturellus erythropus
101,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus
102,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
103,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
104,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus
107,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi
110,species,chotin1,Choco Tinamou,Crypturellus kerriae
111,species,vartin1,Variegated Tinamou,Crypturellus variegatus
112,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus
113,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
114,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
123,species,rustin1,Rusty Tinamou,Crypturellus brevirostris
124,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti
125,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris
126,species,bartin1,Barred Tinamou,Crypturellus casiquiare
